1112	Q0	gesis-ssoar-13497	0	3.1306863	publication
1156	Q0	gesis-ssoar-57899	0	3.4471674	publication
1156	Q0	gesis-ssoar-5892	1	3.3622432	publication
1156	Q0	bibsonomy-dehart2013religion	2	3.346181	publication
11910	Q0	gesis-ssoar-64888	0	2.847426	publication
12195	Q0	gesis-ssoar-33458	0	4.068443	publication
12195	Q0	cews-2-782141	1	3.6977794	publication
12195	Q0	gesis-ssoar-20747	2	3.696998	publication
12195	Q0	gesis-ssoar-30885	3	3.696998	publication
12195	Q0	gesis-ssoar-40926	4	3.655378	publication
12195	Q0	cews-2-793246	5	3.0974512	publication
1259	Q0	gesis-ssoar-33060	0	3.9817631	publication
1259	Q0	gesis-ssoar-52673	1	3.9043176	publication
1259	Q0	cews-2-809373	2	3.9043176	publication
1259	Q0	gesis-ssoar-42833	3	3.8298273	publication
1293	Q0	gesis-ssoar-40652	0	5.2906184	publication
1293	Q0	gesis-ssoar-12330	1	5.2877502	publication
1293	Q0	gesis-ssoar-53940	2	5.1496205	publication
1293	Q0	gesis-ssoar-63299	3	5.108764	publication
1293	Q0	gesis-ssoar-53347	4	5.012219	publication
1293	Q0	gesis-ssoar-24044	5	4.9848776	publication
1293	Q0	gesis-ssoar-24157	6	4.9848776	publication
1293	Q0	gesis-ssoar-27758	7	4.9578333	publication
1293	Q0	gesis-ssoar-78814	8	4.9165688	publication
1326	Q0	gesis-ssoar-19350	0	2.8570752	publication
1326	Q0	gesis-ssoar-69957	1	2.844462	publication
1326	Q0	bibsonomy-jacobsen2018einstellungen	2	2.8320518	publication
1326	Q0	gesis-ssoar-76157	3	2.815974	publication
1326	Q0	gesis-ssoar-60039	4	2.8008227	publication
1326	Q0	gesis-ssoar-59220	5	2.778796	publication
1326	Q0	gesis-ssoar-81509	6	2.759805	publication
1326	Q0	gesis-ssoar-47026	7	2.7483366	publication
1326	Q0	gesis-ssoar-20610	8	2.7441044	publication
1326	Q0	gesis-ssoar-75180	9	2.7287233	publication
13621	Q0	gesis-ssoar-17484	0	2.656176	publication
13621	Q0	gesis-ssoar-45442	1	2.6401112	publication
13621	Q0	gesis-ssoar-11803	2	2.5579777	publication
13621	Q0	gesis-ssoar-72998	3	2.5347524	publication
13621	Q0	gesis-ssoar-44812	4	2.5035644	publication
14255	Q0	gesis-ssoar-68654	0	4.552494	publication
14255	Q0	gesis-ssoar-25033	1	4.3084497	publication
14255	Q0	gesis-ssoar-18582	2	4.2515597	publication
14255	Q0	gesis-ssoar-17585	3	4.1305814	publication
14255	Q0	gesis-ssoar-21950	4	3.9394531	publication
14255	Q0	gesis-ssoar-40949	5	3.9285736	publication
14255	Q0	gesis-ssoar-18584	6	3.8864233	publication
14255	Q0	gesis-ssoar-25032	7	3.8047795	publication
14255	Q0	gesis-ssoar-18583	8	3.8047795	publication
14255	Q0	gesis-ssoar-17430	9	3.773366	publication
14255	Q0	gesis-ssoar-48041	10	3.7267795	publication
14255	Q0	gesis-ssoar-17398	11	3.7267795	publication
14255	Q0	gesis-ssoar-37764	12	3.5792089	publication
14255	Q0	gesis-ssoar-25034	13	3.5095315	publication
14255	Q0	gesis-ssoar-51531	14	3.4104047	publication
14255	Q0	gesis-ssoar-57676	15	3.2058299	publication
14255	Q0	gesis-ssoar-3206	16	3.1854703	publication
1537	Q0	gesis-ssoar-78080	0	3.774724	publication
1537	Q0	gesis-ssoar-79939	1	3.6480386	publication
1537	Q0	gesis-ssoar-57810	2	3.6330967	publication
1537	Q0	gesis-ssoar-45331	3	3.5987055	publication
1537	Q0	gesis-ssoar-55018	4	3.562657	publication
1537	Q0	gesis-ssoar-56902	5	3.562657	publication
1537	Q0	gesis-ssoar-78284	6	3.5567524	publication
1537	Q0	gesis-ssoar-74728	7	3.549906	publication
15423	Q0	gesis-ssoar-21294	0	2.771288	publication
15423	Q0	gesis-ssoar-44812	1	2.7452483	publication
15423	Q0	gesis-ssoar-28879	2	2.732835	publication
1552	Q0	bibsonomy-sandmann2017religiositt	0	4.166854	publication
1552	Q0	gesis-ssoar-55049	1	4.166854	publication
1552	Q0	bibsonomy-meulemann2016religiositt	2	3.95009	publication
1552	Q0	bibsonomy-forschungsgruppeweltanschauungenindeutschland2013datenblatt	3	3.819582	publication
1552	Q0	bibsonomy-meulemann2013religiositt	4	3.7628508	publication
1552	Q0	gesis-ssoar-16463	5	3.681837	publication
1552	Q0	bibsonomy-meulemann2011religiositt	6	3.5532188	publication
15640	Q0	gesis-ssoar-42994	0	3.6387496	publication
15640	Q0	gesis-ssoar-66226	1	3.1432369	publication
15640	Q0	gesis-ssoar-51049	2	2.8949237	publication
15721	Q0	gesis-ssoar-56190	0	3.0730429	publication
15721	Q0	gesis-ssoar-74902	1	3.0699518	publication
15758	Q0	gesis-ssoar-56190	0	6.320649	publication
15758	Q0	gesis-ssoar-83086	1	6.259079	publication
15758	Q0	bibsonomy-andrade2021supervisory	2	6.259079	publication
15758	Q0	gesis-ssoar-66537	3	6.2271376	publication
15758	Q0	cews-2-811053	4	6.2271376	publication
15758	Q0	bibsonomy-andrade2021satisfaction	5	6.188708	publication
1635	Q0	gesis-ssoar-61192	0	4.43425	publication
1635	Q0	gesis-ssoar-20289	1	4.356057	publication
1635	Q0	gesis-ssoar-12389	2	4.348004	publication
1635	Q0	gesis-ssoar-20301	3	4.207571	publication
